City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Deputatskiy,RU,2022-01-30 23:59:52,69.3,139.9,-25.1,100,64,1.77
139,Gorodishche,RU,2022-01-30 23:59:52,48.8045,44.4744,31.08,93,40,17.9
140,Busselton,AU,2022-01-30 23:59:53,-33.65,115.3333,66.09,57,93,19.69
141,Rennes,FR,2022-01-30 23:57:03,48.1667,-1.6667,45.57,93,75,5.75
142,Del Rio,US,2022-01-30 23:59:54,29.3627,-100.8968,68.23,37,84,11.01
143,Tiznit,MA,2022-01-30 23:59:54,29.5833,-9.5,60.39,28,94,16.31
144,Sangar,RU,2022-01-30 23:59:54,63.9242,127.4739,-36.31,100,86,1.92
145,Miri,MY,2022-01-30 23:59:55,4.4148,114.0089,75.34,94,40,5.75
146,Roald,NO,2022-01-30 23:59:55,62.5833,6.1333,32.32,80,20,10.36
147,Provideniya,RU,2022-01-30 23:59:56,64.3833,-173.3,10.51,67,0,17.9
148,Pangnirtung,CA,2022-01-30 23:59:56,66.1451,-65.7125,-21.42,83,90,5.84
149,Hasaki,JP,2022-01-30 23:59:56,35.7333,140.8333,37.8,46,100,16.46
150,Vao,NC,2022-01-30 23:59:57,-22.6667,167.4833,79.18,83,94,9.75
151,Pangai,TO,2022-01-30 23:59:57,-19.8,-174.35,80.92,76,99,9.04
152,Ulladulla,AU,2022-01-30 23:59:58,-35.35,150.4667,82.87,66,6,7.23
153,Pevek,RU,2022-01-30 23:59:58,69.7008,170.3133,-16.64,99,96,1.57
154,Gamba,GA,2022-01-30 23:59:59,-2.65,10.0,77.67,84,100,3.56
155,Mar Del Plata,AR,2022-01-30 23:56:51,-38.0023,-57.5575,67.87,78,75,14.0
156,Zelenets,RU,2022-01-30 23:59:59,61.8849,50.7489,-4.59,100,78,3.56
157,Port-Gentil,GA,2022-01-31 00:00:00,-0.7193,8.7815,81.0,78,96,10.94
158,Wilmington,US,2022-01-30 23:58:22,34.2257,-77.9447,48.85,57,3,5.99
159,Sao Jose Da Coroa Grande,BR,2022-01-31 00:00:00,-8.8978,-35.1478,78.8,82,76,7.74
160,Ust-Uda,RU,2022-01-31 00:00:01,54.1742,103.0304,-5.62,99,100,1.7
161,Aykhal,RU,2022-01-31 00:00:02,66.0,111.5,-22.14,100,85,4.29
162,Bintulu,MY,2022-01-31 00:00:05,3.1667,113.0333,76.48,91,99,3.11
163,Coquimbo,CL,2022-01-31 00:00:07,-29.9533,-71.3436,64.53,85,36,6.8
164,Torbay,CA,2022-01-31 00:00:09,47.6666,-52.7314,37.58,81,100,7.0
165,Port Elizabeth,ZA,2022-01-31 00:00:09,-33.918,25.5701,68.09,91,96,8.72
166,Banjarmasin,ID,2022-01-31 00:00:11,-3.3244,114.591,77.14,84,100,2.55
167,Kruisfontein,ZA,2022-01-30 23:55:34,-34.0033,24.7314,65.88,95,87,2.68
168,Remedios,CU,2022-01-31 00:00:13,22.4947,-79.5458,63.72,56,46,10.0
169,Mingguang,CN,2022-01-31 00:00:13,32.7802,117.9638,35.87,78,96,4.7
170,Quartucciu,IT,2022-01-31 00:00:14,39.2519,9.1794,53.01,63,0,4.0
171,Yakeshi,CN,2022-01-31 00:00:17,49.2833,120.7333,-29.94,100,95,1.83
172,Baishishan,CN,2022-01-31 00:00:18,43.5833,127.5667,-1.28,95,39,1.79
173,Komsomolskiy,UZ,2022-01-31 00:00:01,40.4272,71.7189,32.72,86,100,2.3
174,Bethel,US,2022-01-30 23:56:21,41.3712,-73.414,22.5,58,21,2.66
175,Rio Hondo,GT,2022-01-31 00:00:20,15.0667,-89.5833,65.23,85,96,4.16
176,Bakchar,RU,2022-01-31 00:00:21,57.0186,82.0711,4.15,98,90,5.06
177,Cabedelo,BR,2022-01-31 00:00:22,-6.9811,-34.8339,80.62,75,10,10.94
178,Cayenne,GF,2022-01-31 00:00:23,4.9333,-52.3333,79.09,86,75,7.0
179,Oltu,TR,2022-01-31 00:00:23,40.5498,42.0013,11.88,90,66,7.67
180,Lompoc,US,2022-01-31 00:00:24,34.6391,-120.4579,71.08,57,1,5.99
181,Porgera,PG,2022-01-31 00:01:25,-5.4667,143.2,50.2,76,100,2.21
182,San Cristobal,VE,2022-01-31 00:01:25,7.7669,-72.225,66.13,91,97,3.09
183,Darnah,LY,2022-01-31 00:01:25,32.767,22.6367,55.36,68,66,24.09
184,Laguna,US,2022-01-31 00:00:49,38.421,-121.4238,65.44,53,0,1.01
185,Fairbanks,US,2022-01-31 00:00:04,64.8378,-147.7164,-7.76,76,49,0.45
186,Saucillo,MX,2022-01-31 00:01:26,28.0167,-105.2833,73.06,16,78,18.52
187,Bluff,NZ,2022-01-31 00:01:26,-46.6,168.3333,70.81,84,82,5.21
188,Sandwick,GB,2022-01-31 00:01:27,60.0,-1.25,37.22,93,100,12.66
189,Terney,RU,2022-01-31 00:01:27,45.0503,136.6092,3.47,73,2,11.25
190,Rawson,AR,2022-01-31 00:01:28,-43.3002,-65.1023,59.95,36,57,4.38
191,Puerto Penasco,MX,2022-01-31 00:01:28,31.3167,-113.5333,62.91,65,0,9.04
192,Eyl,SO,2022-01-31 00:01:28,7.9803,49.8164,73.4,77,100,14.63
193,Ponca City,US,2022-01-31 00:00:10,36.707,-97.0856,57.22,36,1,6.58
194,Berlevag,NO,2022-01-31 00:01:29,70.8578,29.0864,28.89,66,100,10.45
195,Santa Fe,AR,2022-01-30 23:59:15,-31.6333,-60.7,73.9,73,0,1.99
196,Prince Rupert,CA,2022-01-31 00:01:30,54.3161,-130.3201,37.49,87,100,5.75
197,Bambous Virieux,MU,2022-01-30 23:58:49,-20.3428,57.7575,79.05,94,75,9.22
198,Sa Kaeo,TH,2022-01-31 00:00:33,13.75,102.3333,74.28,87,25,5.32
199,Hilo,US,2022-01-31 00:00:05,19.7297,-155.09,78.24,66,59,8.01
200,Mount Gambier,AU,2022-01-31 00:01:30,-37.8333,140.7667,66.11,94,100,6.91
201,Kampong Cham,KH,2022-01-31 00:01:31,11.9934,105.4635,73.76,88,22,5.12
202,Yulara,AU,2022-01-31 00:01:31,-25.2406,130.9889,73.26,88,100,13.65
203,Trincomalee,LK,2022-01-31 00:01:32,8.5711,81.2335,80.46,74,31,13.11
204,Rafai,CF,2022-01-31 00:01:32,4.95,23.9167,68.04,33,85,3.69
205,Churapcha,RU,2022-01-31 00:01:32,62.0025,132.4325,-38.4,100,89,2.8
206,Goderich,CA,2022-01-31 00:01:33,43.7501,-81.7165,24.91,86,84,6.98
207,Svetlaya,RU,2022-01-31 00:01:33,46.5389,138.3297,3.78,68,43,8.39
208,Aleksandrovsk-Sakhalinskiy,RU,2022-01-31 00:01:34,50.8975,142.1561,0.72,88,97,3.49
209,Mocuba,MZ,2022-01-31 00:01:34,-16.8392,36.9856,70.56,99,14,1.32
210,Sao Filipe,CV,2022-01-31 00:01:35,14.8961,-24.4956,71.4,72,100,14.32
211,Ust-Kuyga,RU,2022-01-31 00:01:35,70.0167,135.6,-36.42,99,98,4.09
212,Tripoli,LY,2022-01-30 23:57:02,32.8752,13.1875,53.29,65,0,10.42
213,Lodja,CD,2022-01-31 00:01:36,-3.4833,23.4333,73.6,77,100,1.92
214,Nemuro,JP,2022-01-31 00:01:37,43.3236,145.575,16.23,63,34,13.27
215,Itaituba,BR,2022-01-31 00:01:37,-4.2761,-55.9836,74.03,92,100,0.56
216,Karsiyang,IN,2022-01-31 00:01:38,26.8825,88.2773,38.59,68,0,4.59
217,Toucheng,TW,2022-01-31 00:01:38,24.8592,121.8233,58.62,76,100,6.96
218,Sarkand,KZ,2022-01-31 00:01:38,45.41,79.9186,16.93,70,37,7.63
219,Ancud,CL,2022-01-31 00:01:39,-41.8697,-73.8203,60.42,66,33,8.97
220,Porbandar,IN,2022-01-31 00:01:39,21.6422,69.6093,66.45,84,0,7.87
221,Acarau,BR,2022-01-31 00:01:40,-2.8856,-40.12,77.49,82,100,9.53
222,Cap Malheureux,MU,2022-01-31 00:01:40,-19.9842,57.6142,78.48,82,100,3.0
223,Omboue,GA,2022-01-31 00:01:40,-1.5746,9.2618,78.44,86,96,4.92
224,Lasa,IT,2022-01-31 00:01:41,46.6166,10.7002,36.01,38,10,5.86
225,Fort Nelson,CA,2022-01-31 00:01:41,58.8053,-122.7002,1.27,91,100,6.87
226,Yar-Sale,RU,2022-01-31 00:01:42,66.8333,70.8333,-5.6,98,89,7.85
227,Camalu,MX,2022-01-31 00:01:42,30.85,-116.0667,62.42,50,1,8.19
228,Erzin,TR,2022-01-31 00:01:43,36.9559,36.2,45.12,85,89,6.89
229,Harper,LR,2022-01-31 00:02:43,4.375,-7.7169,79.23,86,54,6.42
230,Basco,PH,2022-01-31 00:02:44,20.4487,121.9702,71.06,77,92,30.51
231,Saskylakh,RU,2022-01-30 23:58:59,71.9167,114.0833,-21.86,100,99,2.68
232,Mlonggo,ID,2022-01-31 00:02:44,-6.5333,110.7,78.69,90,100,6.17
233,Sorbhog,IN,2022-01-31 00:02:45,26.5,90.8667,52.93,63,0,4.59
234,Bandarbeyla,SO,2022-01-31 00:02:45,9.4942,50.8122,74.77,79,97,14.76
235,Lebu,CL,2022-01-31 00:02:45,-37.6167,-73.65,58.21,71,0,21.14
236,Tazovskiy,RU,2022-01-31 00:02:46,67.4667,78.7,-8.68,98,99,8.12
237,Margate,GB,2022-01-31 00:00:51,51.3813,1.3862,46.96,83,90,7.0
238,Rio Brilhante,BR,2022-01-31 00:02:47,-21.8019,-54.5464,72.79,93,18,5.35
239,Channahon,US,2022-01-31 00:02:47,41.4295,-88.2287,29.39,72,100,1.99
240,Atar,MR,2022-01-31 00:02:48,20.5169,-13.0499,79.48,11,100,8.32
241,Calama,CL,2022-01-31 00:02:48,-22.4667,-68.9333,59.85,42,0,14.09
242,Kijang,KR,2022-01-31 00:02:49,35.2442,129.2139,33.85,28,0,4.36
243,Chilca,PE,2022-01-31 00:02:49,-12.5211,-76.7372,73.62,85,88,7.14
244,Khani,GE,2022-01-31 00:02:50,41.9563,42.9566,31.57,82,100,7.34
245,Oparino,RU,2022-01-31 00:02:51,59.8518,48.2783,0.59,100,92,4.56
246,Beisfjord,NO,2022-01-31 00:02:51,68.3751,17.5988,23.97,87,71,6.89
247,Buraydah,SA,2022-01-31 00:00:17,26.326,43.975,57.97,44,88,10.33
248,Qaanaaq,GL,2022-01-31 00:02:52,77.484,-69.3632,-7.42,68,100,6.53
249,Waipawa,NZ,2022-01-31 00:02:52,-41.4122,175.5153,73.92,63,60,9.69
250,Caravelas,BR,2022-01-31 00:02:52,-17.7125,-39.2481,79.41,84,29,11.36
251,Benjamin Hill,MX,2022-01-31 00:02:53,30.1667,-111.1,64.56,18,0,12.59
252,Mangrol,IN,2022-01-31 00:02:53,21.1167,70.1167,64.24,70,0,7.94
253,Constitucion,CL,2022-01-31 00:00:56,-35.3333,-72.4167,59.83,76,4,16.64
254,Ixtapa,MX,2022-01-31 00:02:54,20.7,-105.2,76.23,73,0,10.36
255,Ostersund,SE,2022-01-31 00:00:42,63.1792,14.6357,19.85,86,8,10.36
256,Buckeye,US,2022-01-31 00:00:00,33.3703,-112.5838,74.91,20,2,6.91
257,Pueblo,US,2022-01-31 00:00:09,38.2545,-104.6091,54.36,39,0,3.42
258,Geraldton,AU,2022-01-31 00:02:55,-28.7667,114.6,73.81,78,40,11.5
259,Meulaboh,ID,2022-01-31 00:02:56,4.1363,96.1285,76.03,87,76,4.29
260,Dali,CN,2022-01-31 00:02:56,25.7,100.1833,35.33,88,23,1.79
261,Athens,GR,2022-01-31 00:00:06,37.9795,23.7162,47.17,75,22,1.01
262,Boende,CD,2022-01-31 00:02:56,-0.2167,20.8667,78.15,33,100,1.59
263,Sitka,US,2022-01-31 00:02:57,57.0531,-135.33,39.09,75,40,4.61
264,Verkhnyaya Inta,RU,2022-01-31 00:02:57,65.9811,60.3094,-1.59,94,100,4.38
265,Pisco,PE,2022-01-31 00:02:58,-13.7,-76.2167,69.03,88,84,5.35
266,Sakakah,SA,2022-01-31 00:02:58,29.9697,40.2064,47.16,48,100,11.32
267,Pitimbu,BR,2022-01-31 00:02:59,-7.4706,-34.8086,80.56,78,25,10.49
268,Ketchikan,US,2022-01-31 00:02:59,55.3422,-131.6461,34.27,93,100,4.61
269,Necochea,AR,2022-01-31 00:03:00,-38.5473,-58.7368,64.04,64,81,22.64
270,Dikson,RU,2022-01-31 00:03:00,73.5069,80.5464,-5.21,94,100,22.3
271,Dwarka,IN,2022-01-31 00:03:01,22.2394,68.9678,69.73,83,0,9.17
272,Lata,PT,2022-01-31 00:03:01,40.1629,-8.3327,46.72,58,96,3.11
273,Susanino,RU,2022-01-31 00:03:02,58.1461,41.5872,18.36,94,100,8.55
274,Normandin,CA,2022-01-31 00:03:02,48.8333,-72.5321,0.95,90,86,4.65
275,Kununurra,AU,2022-01-31 00:04:03,-15.7667,128.7333,82.38,78,75,16.11
276,Caluquembe,AO,2022-01-31 00:04:03,-13.7833,14.6833,57.92,87,100,7.61
277,Buchanan,LR,2022-01-31 00:04:04,5.8808,-10.0467,79.63,86,35,4.85
278,Souillac,MU,2022-01-31 00:04:04,-20.5167,57.5167,78.37,83,100,13.38
279,Sorland,NO,2022-01-31 00:03:08,67.667,12.6934,34.02,46,81,5.46
280,Airai,TL,2022-01-31 00:04:05,-8.9266,125.4092,66.16,77,87,4.74
281,Kamaishi,JP,2022-01-31 00:04:06,39.2667,141.8833,28.17,51,25,9.46
282,Alugan,PH,2022-01-31 00:04:06,12.2188,125.4808,78.66,85,57,2.82
283,Hamilton,US,2022-01-31 00:00:05,39.1834,-84.5333,32.77,69,20,3.53
284,Mattru,SL,2022-01-31 00:04:07,7.6244,-11.8332,73.15,93,13,2.15
285,Lorengau,PG,2022-01-31 00:04:07,-2.0226,147.2712,79.72,83,100,12.48
286,Akyab,MM,2022-01-31 00:04:08,20.15,92.9,57.61,65,0,8.9
287,Yerofey Pavlovich,RU,2022-01-31 00:04:09,53.9667,121.9667,-5.49,95,100,2.93
288,Te Anau,NZ,2022-01-31 00:04:09,-45.4167,167.7167,71.46,61,34,2.37
289,Corvallis,US,2022-01-30 23:59:12,44.5646,-123.262,55.67,73,100,3.0
290,Saint-Pierre,RE,2022-01-31 00:04:10,-21.3393,55.4781,76.68,78,20,8.05
291,Bilibino,RU,2022-01-31 00:04:10,68.0546,166.4372,-11.61,96,74,4.63
292,Ustye,RU,2022-01-31 00:04:11,59.6304,39.736,12.83,96,100,8.28
293,Bathsheba,BB,2022-01-31 00:04:11,13.2167,-59.5167,77.49,77,36,14.54
294,Gizo,SB,2022-01-31 00:04:12,-8.103,156.8419,84.81,69,100,8.37
