City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Wagar,SD,16.1525,36.2032,74.25,25,3,13.04,clear sky
115,Vaini,TO,-21.2,-175.2,77.4,91,100,22.12,heavy intensity rain
116,Jamestown,US,42.097,-79.2353,22.51,45,100,3.0,overcast clouds
117,Camacha,PT,33.0833,-16.3333,65.53,72,0,16.11,clear sky
118,Mwinilunga,ZM,-11.7358,24.4293,62.46,96,31,3.49,scattered clouds
119,Ndele,CF,8.4109,20.6473,79.12,18,53,4.61,broken clouds
120,Shetpe,KZ,44.1667,52.1167,30.43,85,100,20.04,overcast clouds
121,Georgetown,MY,5.4112,100.3354,81.9,79,40,0.0,scattered clouds
122,Tura,IN,25.5198,90.2201,50.34,91,11,1.23,few clouds
123,Areka,ET,7.0667,37.7,69.3,23,53,4.34,broken clouds
124,Khor,RU,47.8861,134.9464,-21.32,100,88,2.73,overcast clouds
125,Henties Bay,NA,-22.116,14.2845,68.86,80,7,6.44,clear sky
126,Westport,US,41.1415,-73.3579,29.75,64,20,1.01,few clouds
127,Ribeira Grande,PT,38.5167,-28.7,63.0,77,40,11.5,scattered clouds
128,Churapcha,RU,62.0025,132.4325,-32.28,100,99,0.76,overcast clouds
129,Cidreira,BR,-30.1811,-50.2056,82.81,69,97,9.98,heavy intensity rain
130,Lumeje,AO,-11.55,20.7833,66.27,84,97,4.5,overcast clouds
131,Batemans Bay,AU,-35.7167,150.1833,64.09,79,94,7.7,overcast clouds
132,Sakakah,SA,29.9697,40.2064,51.69,56,38,9.51,scattered clouds
133,Sayyan,YE,15.1718,44.3244,58.35,64,54,1.95,broken clouds
134,Kavaratti,IN,10.5669,72.642,78.87,61,31,10.22,scattered clouds
135,Codrington,AU,-38.2667,141.9667,56.62,90,99,8.01,overcast clouds
136,Bilma,NE,18.6853,12.9164,64.54,17,0,4.41,clear sky
137,Lannion,FR,48.75,-3.4167,49.14,76,0,12.66,clear sky
138,Chokurdakh,RU,70.6333,147.9167,-30.17,100,100,2.19,overcast clouds
139,Kuliyapitiya,LK,7.4688,80.0401,76.68,81,9,6.58,clear sky
140,Ico,BR,-6.4011,-38.8622,95.97,33,68,3.4,broken clouds
141,Bethel,US,41.3712,-73.414,27.1,70,75,3.0,broken clouds
142,Mitsamiouli,KM,-11.3847,43.2844,81.41,77,84,12.03,broken clouds
143,Hualmay,PE,-11.0964,-77.6139,75.74,70,25,11.25,scattered clouds
144,Puerto Escondido,MX,15.85,-97.0667,83.23,74,0,6.91,clear sky
145,Nanortalik,GL,60.1432,-45.2371,13.42,61,24,23.53,few clouds
146,Pangkalanbuun,ID,-2.6833,111.6167,74.14,96,97,2.42,overcast clouds
147,Olafsvik,IS,64.8945,-23.7142,30.38,66,100,19.24,overcast clouds
148,Kibray,UZ,41.3873,69.4641,50.52,30,71,10.71,broken clouds
149,Kolokani,ML,13.5728,-8.0339,86.0,7,0,6.82,clear sky
150,Avarua,CK,-21.2078,-159.775,78.85,83,40,11.5,scattered clouds
151,Khatanga,RU,71.9667,102.5,-33.11,100,78,1.05,broken clouds
152,Luena,AO,-11.7833,19.9167,62.01,91,80,4.61,broken clouds
153,Whitehorse,CA,60.7161,-135.0538,13.8,86,81,8.48,broken clouds
154,Lebu,CL,-37.6167,-73.65,64.13,67,0,19.86,clear sky
155,Nouadhibou,MR,20.931,-17.0347,66.38,77,0,19.84,clear sky
156,Codajas,BR,-3.8367,-62.0569,84.81,74,87,1.25,overcast clouds
157,Outlook,CA,51.5001,-107.0513,10.85,93,100,5.37,light snow
158,Carnarvon,AU,-24.8667,113.6333,79.52,80,27,8.05,scattered clouds
159,Marawi,PH,7.9986,124.2928,67.64,92,61,2.04,broken clouds
160,Fortuna,US,40.5982,-124.1573,52.93,85,0,1.99,clear sky
161,Pisco,PE,-13.7,-76.2167,72.01,83,75,9.22,mist
162,Nurota,UZ,40.5614,65.6886,59.09,50,94,32.12,overcast clouds
163,Leua,SK,48.2156,18.6071,39.49,65,5,10.51,clear sky
164,Bandarbeyla,SO,9.4942,50.8122,75.69,68,54,10.04,broken clouds
165,Sur,OM,22.5667,59.5289,73.22,51,0,5.41,clear sky
166,Mindif,CM,10.3976,14.4363,77.22,15,45,8.39,scattered clouds
167,Tonantins,BR,-2.8731,-67.8022,74.41,94,100,1.72,overcast clouds
168,Panalingaan,PH,8.7842,117.4231,77.88,81,90,4.85,overcast clouds
169,Inyonga,TZ,-6.7167,32.0667,65.52,84,100,2.17,overcast clouds
170,Adre,TD,13.4667,22.2,67.51,17,4,13.56,clear sky
171,Benghazi,LY,32.1167,20.0667,59.31,66,16,13.51,few clouds
172,Taoudenni,ML,22.6783,-3.9836,75.67,8,56,8.52,broken clouds
173,Moose Factory,CA,51.2585,-80.6094,-1.71,78,36,6.02,scattered clouds
174,Saquarema,BR,-22.92,-42.5103,87.82,80,85,10.8,overcast clouds
175,Guerrero Negro,MX,27.9769,-114.0611,64.17,26,0,2.68,clear sky
176,Qaanaaq,GL,77.484,-69.3632,1.71,75,90,4.09,overcast clouds
177,Jumla,NP,29.2747,82.1838,26.02,73,20,5.32,few clouds
178,Abeche,TD,13.8292,20.8324,73.18,16,41,11.36,scattered clouds
179,Quang Ngai,VN,15.1167,108.8,68.67,93,100,4.03,overcast clouds
180,Thompson,CA,55.7435,-97.8558,-12.33,90,79,3.38,broken clouds
181,Upernavik,GL,72.7868,-56.1549,-0.4,98,100,3.83,overcast clouds
182,Colares,PT,38.7992,-9.4469,58.19,70,20,1.01,few clouds
183,Belturbet,IE,54.1,-7.45,48.61,93,100,13.51,moderate rain
184,San Patricio,US,28.017,-97.5169,48.61,31,1,6.04,clear sky
185,Shaowu,CN,27.3409,117.4831,46.6,87,100,1.43,overcast clouds
186,Broome,US,42.2506,-75.833,19.65,68,75,4.0,broken clouds
187,Aklavik,CA,68.2191,-135.0107,-42.93,95,10,2.13,clear sky
188,Seoul,KR,37.5683,126.9778,24.24,52,1,3.98,clear sky
189,Nyurba,RU,63.2842,118.3319,-24.05,100,91,3.4,overcast clouds
190,Healesville,AU,-37.65,145.5167,61.99,87,45,2.64,scattered clouds
191,Corinto,GR,37.9407,22.9573,55.54,74,36,3.27,scattered clouds
192,Porto Novo,BJ,6.4965,2.6036,81.61,71,2,8.61,clear sky
193,Vardo,NO,70.3705,31.1107,26.42,78,100,26.17,overcast clouds
194,Pochutla,MX,15.7432,-96.4661,86.83,33,0,7.2,clear sky
195,Port Elizabeth,ZA,-33.918,25.5701,69.1,83,75,17.27,broken clouds
196,Geraldton,AU,-28.7667,114.6,70.21,94,100,3.44,overcast clouds
197,Oistins,BB,13.0667,-59.5333,82.49,57,20,16.11,few clouds
198,Mount Gambier,AU,-37.8333,140.7667,57.92,78,85,7.02,overcast clouds
199,Zyryanka,RU,65.75,150.85,-40.88,100,54,3.67,broken clouds
200,Umea,SE,63.8284,20.2597,17.53,100,0,3.44,clear sky
201,Merauke,ID,-8.4667,140.3333,80.4,85,100,7.78,overcast clouds
202,Baculin,PH,7.4525,126.5842,76.55,87,50,6.64,scattered clouds
203,Udachnyy,RU,66.4167,112.4,-31.43,100,80,3.31,broken clouds
204,Embu,BR,-23.6489,-46.8522,85.55,67,99,10.76,overcast clouds
205,Adrar,MR,20.5022,-10.0711,77.05,6,30,8.01,scattered clouds
206,Murindo,CO,6.9848,-76.7544,87.1,58,61,5.95,broken clouds
207,Helena,US,46.5927,-112.0361,44.31,54,75,15.99,broken clouds
208,Sudbury,CA,46.49,-80.99,8.06,48,13,3.94,few clouds
209,Laguna,US,38.421,-121.4238,60.08,68,0,1.01,clear sky
