City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Kibray,UZ,50.52,broken clouds,41.3873,69.4641,"Fermerskoye Khozyaystvo ""Uzumfermer.uz"""
153,Whitehorse,CA,13.8,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
157,Outlook,CA,10.85,light snow,51.5001,-107.0513,Red Wheel Motel
160,Fortuna,US,52.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
162,Nurota,UZ,59.09,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
163,Leua,SK,39.49,clear sky,48.2156,18.6071,Business Hotel ASTRUM Laus
171,Benghazi,LY,59.31,few clouds,32.1167,20.0667,Tibesti Hotel
177,Jumla,NP,26.02,few clouds,29.2747,82.1838,Royal Garden Hotel
182,Colares,PT,58.19,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
183,Belturbet,IE,48.61,moderate rain,54.1,-7.45,Staghall Old School Bed and Breakfast
184,San Patricio,US,48.61,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
185,Shaowu,CN,46.6,overcast clouds,27.3409,117.4831,Yijie Express Hotel
186,Broome,US,19.65,broken clouds,42.2506,-75.833,Chenango Valley State Park
188,Seoul,KR,24.24,clear sky,37.5683,126.9778,LOTTE Hotel Seoul
191,Corinto,GR,55.54,scattered clouds,37.9407,22.9573,Ephira Hotel
193,Vardo,NO,26.42,overcast clouds,70.3705,31.1107,Vardø Hotel AS
198,Mount Gambier,AU,57.92,overcast clouds,-37.8333,140.7667,The Commodore
200,Umea,SE,17.53,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
207,Helena,US,44.31,broken clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
208,Sudbury,CA,8.06,few clouds,46.49,-80.99,Travelway Inn Sudbury
210,Severo-Kurilsk,RU,28.74,snow,50.6789,156.125,Kak Doma
211,Aksu,CN,25.23,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
214,Klaksvik,FO,36.52,overcast clouds,62.2266,-6.589,Airbnb rooms
217,Ardakan,IR,52.18,clear sky,32.31,54.0175,Ardakan Hotel
218,Eureka,US,52.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
219,Torbay,CA,49.75,moderate rain,47.6666,-52.7314,Gallows Cove
221,Muroto,JP,39.7,scattered clouds,33.2833,134.15,Oota Ryokan
223,Berkak,NO,23.79,broken clouds,62.825,10.0118,Sande House and Cottages AS Trøndelag
226,Longyearbyen,SJ,10.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
228,Hofn,IS,29.61,overcast clouds,64.2539,-15.2082,Hótel Höfn
235,Lashio,MM,52.3,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
237,Shelburne,CA,16.25,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
238,Khash,IR,57.45,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
242,Makushino,RU,16.07,overcast clouds,55.2103,67.2442,Cristina Hotel
243,Korla,CN,25.29,overcast clouds,41.7597,86.1469,Gulisitan Hotel
246,Haines Junction,CA,8.55,overcast clouds,60.7522,-137.5108,Parkside Inn
247,Winslow,US,41.31,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
254,Port Hardy,CA,41.76,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
259,Rivne,UA,35.83,overcast clouds,50.6231,26.2274,Myr Hotel
260,Ilulissat,GL,6.82,broken clouds,69.2167,-51.1,Hotel Arctic
263,Taman,RU,32.34,scattered clouds,45.2117,36.7161,Staryy Gorod G. Taman'
266,Berga,NO,43.65,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
267,Ostrovnoy,RU,15.93,overcast clouds,68.0531,39.5131,
270,Soria,ES,42.01,scattered clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
276,Rostovka,RU,9.88,overcast clouds,55.3842,71.8891,
277,Abu Kamal,SY,52.86,clear sky,34.4506,40.9171,محطة التلفاز
278,Brigantine,US,32.34,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
281,Avera,US,50.68,few clouds,33.194,-82.5271,
282,Katsuura,JP,35.62,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
283,Dubno,UA,35.89,overcast clouds,50.4169,25.7343,Edem
284,Sept-Iles,CA,10.06,overcast clouds,50.2001,-66.3821,Comfort Inn
287,Shaoguan,CN,46.08,light rain,24.8,113.5833,Shangcheng Hotel
288,Fort Saint James,CA,38.46,broken clouds,54.4333,-124.25,The View Hotel
291,Vendome,FR,44.29,scattered clouds,47.8,1.0667,Hotel Mercator
292,Roald,NO,39.34,light intensity drizzle,62.5833,6.1333,Flem Cabins
296,Terrace Bay,CA,8.22,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
300,Esna,EG,56.19,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
